회사명,주요제품,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률
드림씨아이에스,시판후조사대행(rPMS),87.9,30500.0,104.7,26050.0,74.8,24500.0,64.4,19550.0,31.2,17400.0,16.8
에스씨엠생명과학,세포치료제,73.5,36100.0,112.4,26000.0,52.9,31500.0,85.3,34700.0,104.1,31700.0,86.5
에스케이바이오팜,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,100.0,127000.0,159.2,186500.0,280.6,159000.0,224.5,171000.0,249.0,123500.0,152.0
신도기연,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",100.0,11344.0,40.0,10458.0,29.1,11268.0,39.1,9698.0,19.7,9166.0,13.1
소마젠,"유전체 분석 서비스 (NGS, CES 등)",5.9,15100.0,37.3,16950.0,54.1,15100.0,37.3,18150.0,65.0,13650.0,24.1
에이프로,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)",100.0,28050.0,159.7,22225.0,105.8,19300.0,78.7,23775.0,120.1,20000.0,85.2
솔트룩스,인공지능 및 빅데이터 소프트웨어,60.0,17178.0,37.2,14299.0,14.2,18105.0,44.6,17529.0,40.0,15601.0,24.6
더네이쳐홀딩스,"의류, 여행용 가방 및 잡화류",-10.0,21500.0,-6.5,21450.0,-6.7,21250.0,-7.6,20325.0,-11.6,36400.0,58.3
엠투아이,"스마트HMI, 스마트SCADA, 스마트팩토리솔루션",20.8,7968.0,1.9,7392.0,-5.4,7542.0,-3.5,9422.0,20.5,10000.0,27.9
와이팜,전력증폭기 모듈(PAM),41.4,18800.0,70.9,15500.0,40.9,12550.0,14.1,13850.0,25.9,9200.0,-16.4
이루다,레이저 및 고주파 의료기기,100.0,8057.0,96.1,6848.0,66.7,5592.0,36.1,6026.0,46.7,5957.0,45.0
한국파마,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)",100.0,16850.0,87.2,20750.0,130.6,24350.0,170.6,66900.0,643.3,56000.0,522.2
