종목코드,공모금액(백만원),액면가 (원),공모가 (원),최초상장주식수 (주),상장일시가,report_year,매출액,영업이익,당기순이익,미국채권10년price,미국채권10년var,미국채권10년5MA,미국채권10년20MA,미국채권10년60MA,미국채권10년5MA_line,미국채권10년20MA_line,미국채권10년60MA_line,미국채권10년변동5MA,비트코인price,비트코인var,비트코인5MA,비트코인20MA,비트코인60MA,비트코인5MA_line,비트코인20MA_line,비트코인60MA_line,비트코인변동5MA,VIXprice,VIXvar,VIX5MA,VIX20MA,VIX60MA,VIX5MA_line,VIX20MA_line,VIX60MA_line,VIX변동5MA,환율price,환율var,환율5MA,환율20MA,환율60MA,환율5MA_line,환율20MA_line,환율60MA_line,환율변동5MA,유가price,유가var,유가5MA,유가20MA,유가60MA,유가5MA_line,유가20MA_line,유가60MA_line,유가변동5MA,금price,금var,금5MA,금20MA,금60MA,금5MA_line,금20MA_line,금60MA_line,금변동5MA,천연가스price,천연가스var,천연가스5MA,천연가스20MA,천연가스60MA,천연가스5MA_line,천연가스20MA_line,천연가스60MA_line,천연가스변동5MA,나스닥지수price,나스닥지수var,나스닥지수5MA,나스닥지수20MA,나스닥지수60MA,나스닥지수5MA_line,나스닥지수20MA_line,나스닥지수60MA_line,나스닥지수거래량,나스닥지수변동5MA,코스피지수price,코스피지수var,코스피지수5MA,코스피지수20MA,코스피지수60MA,코스피지수5MA_line,코스피지수20MA_line,코스피지수60MA_line,코스피지수거래량,코스피지수변동5MA,신고서제출일_M,수요예측일정_M,청약일정_M,납입일_M,상장예정일_M,상장일_M,신고서제출일_diff,납입일_diff,상장예정일_diff,주관사_갯수,씨티그룹글로벌마켓증권㈜_isin,한화투자증권㈜_isin,하나증권주식회사_isin,제이피모간증권회사 서울지점_isin,신한투자증권 주식회사_isin,한국투자증권㈜_isin,KB증권㈜_isin,DB금융투자주식회사_isin,모건스탠리 인터내셔날증권회사 서울지점_isin,유안타증권㈜_isin,IBK투자증권㈜_isin,골드만삭스증권 서울지점_isin,현대차증권주식회사_isin,신영증권㈜_isin,삼성증권㈜_isin,미래에셋증권 주식회사_isin,엔에이치투자증권주식회사_isin,대신증권㈜_isin,하이투자증권㈜_isin,키움증권㈜_isin,CS증권 서울지점_isin,시장구분_유가증권 상장추진,시장구분_코스닥 상장추진,국적_대한민국,국적_미국,국적_홍콩,업종_1차,업종_가구,업종_건물,업종_건물설비,"업종_건축기술,",업종_광고업,업종_구조용,업종_그외,업종_금융,업종_기초,업종_기타,업종_동물용,업종_반도체,업종_보험,"업종_비료,",업종_상품,업종_생활용품,"업종_섬유,",업종_소프트웨어,업종_알코올음료,"업종_영화,",업종_오디오물,업종_운동,업종_운송장비,업종_은행,업종_음·식료품,업종_의료용,업종_의료용품,업종_의약품,업종_일반,업종_일차전지,업종_자동차,"업종_자료처리,",업종_자연과학,업종_전구,업종_전기,"업종_전동기,",업종_전자부품,"업종_측정,",업종_컴퓨터,업종_통신,업종_특수,업종_플라스틱제품,증권구분_주권,증권구분_주식예탁증권,상장일등락_이동평균_3,상장일등락_이동평균_7
223250,20186.0,500.0,14900.0,5419150.0,28000.0,2020,22108907.0,4335672.0,4150871.0,139.16,0.07,138.95,138.9755,138.20333333333332,-0.2100000000000079,-0.1844999999999856,-0.9566666666666775,-0.0239999999999999,9162.4,1.14,9441.759999999998,9301.38,7867.994999999999,279.3599999999988,138.98000000000138,-1294.4050000000009,-1.0420000000000011,28.16,-4.64,29.102,31.9225,44.78433333333333,0.9419999999999966,3.762499999999996,16.62433333333333,-2.276,1240.59,0.6,1230.242,1224.7225,1221.632833333333,-10.347999999999956,-15.867499999999836,-18.95716666666658,0.1279999999999999,33.25,-1.98,32.995999999999995,24.6605,24.9905,-0.2540000000000049,-8.589500000000001,-8.2595,2.522,1735.5,0.79,1737.9,1720.725,1669.3149999999998,2.400000000000091,-14.775000000000093,-66.18500000000017,-0.2319999999999997,1.731,1.23,1.765,1.82115,1.7618,0.034,0.0901499999999997,0.0307999999999999,1.1060000000000003,9324.59,0.43,9281.036,8982.191499999999,8303.302,-43.55400000000009,-342.39850000000115,-1021.2880000000004,74603.0,0.6880000000000003,1970.13,-1.41,1975.16,1936.445,1862.4511666666665,5.029999999999745,-33.684999999999945,-107.6788333333336,84747.0,0.4500000000000004,4,5,5,5,5,5,42,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,125.43333333333332,92.92857142857143
298060,30600.0,500.0,17000.0,11026646.0,29500.0,2020,168499.0,-12202218.0,-42553754.0,138.97,0.12,139.08200000000002,138.845,138.83149999999998,0.1120000000000231,-0.125,-0.1385000000000218,0.014,9473.3,-0.64,9453.56,9614.735,9028.31,-19.73999999999978,141.4349999999995,-444.9899999999998,0.0159999999999987,33.47,-0.59,35.684000000000005,29.392,37.36133333333333,2.2140000000000057,-4.078000000000003,3.891333333333328,5.808000000000001,1215.41,0.3,1209.102,1217.9725,1221.1961666666668,-6.307999999999993,2.5625,5.786166666666759,0.416,37.96,-1.09,37.212,36.286,26.033666666666665,-0.7479999999999976,-1.6740000000000066,-11.926333333333336,-0.7559999999999993,1735.6,-0.05,1735.28,1724.73,1710.65,-0.3199999999999363,-10.86999999999989,-24.949999999999815,0.1760000000000002,1.638,1.49,1.693,1.7712999999999997,1.7705666666666668,0.0550000000000001,0.1332999999999997,0.1325666666666669,-1.6119999999999997,9910.53,0.15,9722.792,9619.1365,8810.267166666667,-187.7380000000012,-291.39350000000195,-1100.262833333334,101000.0,-0.1859999999999997,2141.05,0.14,2123.8,2095.119,1923.1563333333331,-17.25,-45.931000000000495,-217.89366666666683,92752.0,-0.4479999999999993,5,6,6,6,6,6,36,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103.86666666666663,77.04285714285716
326030,959337.0,500.0,49000.0,78313250.0,98000.0,2020,123814229.0,-87619325.0,-90983120.0,139.09,0.1,139.152,138.8545,138.93116666666668,0.0619999999999834,-0.2355000000000018,-0.1588333333333196,0.026,9100.0,-1.51,9162.54,9327.785,9385.726666666666,62.539999999999054,227.78499999999983,285.72666666666555,0.1939999999999986,27.68,-3.28,30.648000000000003,31.7195,33.04483333333333,2.9680000000000035,4.0395,5.36483333333333,-2.8360000000000003,1198.75,-0.23,1200.5,1204.197,1218.1848333333337,1.75,5.447000000000116,19.434833333333472,-0.0579999999999999,40.65,2.08,39.586,38.821,28.99816666666667,-1.064,-1.8290000000000008,-11.651833333333329,0.9900000000000008,1790.0,0.57,1786.38,1750.86,1733.8983333333335,-3.6200000000001182,-39.13999999999987,-56.10166666666646,0.2220000000000002,1.734,3.77,1.672,1.6815000000000002,1.7636833333333333,-0.062,-0.0524999999999997,0.0296833333333332,3.37,10207.63,0.52,10010.478,9919.123,9251.23,-197.15200000000004,-288.5069999999996,-956.3999999999978,88700.0,0.3900000000000002,2135.37,1.36,2115.706,2137.7475,2006.6621666666665,-19.66399999999976,2.3775000000000546,-128.70783333333338,109000.0,0.2220000000000005,5,6,6,6,7,7,44,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,78.83333333333331,61.25714285714286
290520,20800.0,500.0,16000.0,8061280.0,16206.0,2020,83428397.0,16613876.0,14920105.0,138.98,-0.14,139.074,138.99849999999998,138.96216666666666,0.0940000000000225,0.0184999999999888,-0.0178333333333284,-0.0499999999999999,9361.0,2.99,9154.46,9271.675,9379.875,-206.53999999999905,-89.32500000000073,18.875,0.2739999999999988,27.94,0.94,28.47000000000001,31.984,32.554833333333335,0.5300000000000047,4.043999999999997,4.614833333333333,-2.508,1191.92,-0.58,1198.078,1203.871,1217.5904999999998,6.157999999999902,11.950999999999794,25.67049999999972,-0.1179999999999999,40.63,0.87,40.13,38.9795,29.638,-0.5,-1.650500000000008,-10.992000000000004,0.4720000000000007,1799.0,0.31,1792.58,1761.0800000000004,1735.2033333333334,-6.420000000000073,-37.91999999999962,-63.796666666666624,0.2040000000000002,1.83,4.81,1.7464,1.68175,1.76705,-0.0836000000000001,-0.1482500000000002,-0.06295,1.432,10433.65,2.21,10145.764,9950.1015,9290.275833333331,-287.8860000000004,-483.54849999999897,-1143.3741666666683,104000.0,1.35,2187.93,1.65,2138.148,2136.4565,2018.7431666666669,-49.78200000000015,-51.4734999999996,-169.18683333333297,66690.0,0.8880000000000006,5,6,6,6,7,7,39,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,78.99999999999999,48.642857142857146
950200,46200.0,0.1,11000.0,16861261.0,11650.0,2020,20086832.0,-4857527.0,-23066854.0,139.22,0.0,139.266,139.081,138.97133333333335,0.0459999999999922,-0.13900000000001,-0.2486666666666508,0.034,9252.0,-0.68,9273.74,9216.285,9389.16,21.73999999999978,-35.715000000000146,137.15999999999983,-0.4120000000000013,32.19,17.96,29.25,30.9755,31.69183333333333,-2.9399999999999977,-1.2144999999999977,-0.4981666666666662,3.2340000000000004,1203.37,0.25,1197.914,1202.9805,1215.7035,-5.455999999999904,-0.3894999999999982,12.333500000000186,0.194,40.1,-1.11,40.358,39.656,32.49466666666667,0.2579999999999955,-0.4440000000000026,-7.605333333333334,-0.2439999999999992,1814.1,0.68,1810.06,1781.25,1741.861666666667,-4.039999999999964,-32.84999999999991,-72.238333333333,0.1700000000000002,1.739,-3.66,1.8046,1.6949,1.7710666666666668,0.0655999999999998,-0.0441,0.0320666666666666,-0.986,10390.84,-2.13,10478.484,10120.703,9467.028333333332,87.64400000000023,-270.1370000000006,-923.8116666666684,108000.0,-0.0719999999999998,2186.06,1.67,2165.452,2141.594,2046.082666666667,-20.60799999999972,-44.46599999999989,-139.97733333333326,65023.0,-0.0099999999999995,4,6,6,7,7,7,95,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.06666666666665,56.65714285714286
262260,29547.0,500.0,21600.0,6345954.0,21600.0,2020,67358476.0,10382613.0,7578279.0,139.48,0.1,139.33599999999998,139.14450000000002,138.989,-0.1440000000000054,-0.3354999999999677,-0.4909999999999854,-0.0039999999999999,9149.9,-0.65,9238.240000000002,9210.345,9376.725,88.34000000000196,60.44499999999971,226.82500000000076,-0.2080000000000013,28.0,0.86,28.952,30.2355,30.926166666666667,0.9519999999999982,2.235500000000002,2.926166666666667,-0.4319999999999996,1205.11,0.38,1202.8580000000002,1201.5205,1214.226,-2.2519999999997253,-3.5894999999998163,9.115999999999984,0.1379999999999999,40.75,-1.09,40.578,40.009,33.745,-0.1720000000000041,-0.7409999999999997,-7.005000000000003,0.5760000000000007,1800.3,-0.74,1808.7,1792.4649999999997,1746.1283333333336,8.400000000000091,-7.835000000000264,-54.1716666666664,-0.0379999999999997,1.723,-3.09,1.7582,1.7127500000000002,1.7668500000000005,0.0351999999999999,-0.0102499999999998,0.0438500000000001,-0.6119999999999999,10473.83,-0.73,10504.236,10219.727,9567.675,30.40600000000086,-254.1029999999992,-906.1550000000008,87349.0,-0.1339999999999998,2183.76,-0.82,2181.112,2149.4275,2061.070833333333,-2.6480000000001382,-34.33249999999998,-122.689166666667,78464.0,0.1540000000000005,6,7,7,7,7,7,36,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63.46666666666664,63.785714285714285
304100,18750.0,500.0,25000.0,5031515.0,20033.0,2020,17138284.0,568766.0,1373712.0,139.62,0.04,139.49,139.297,139.03666666666666,-0.1299999999999954,-0.3230000000000075,-0.5833333333333428,0.018,9615.0,0.6,9397.02,9282.325,9380.835,-217.9799999999996,-332.6749999999993,-234.16500000000087,0.9179999999999988,26.08,7.24,25.076,28.28850000000001,30.0925,-1.0039999999999978,2.208500000000008,4.012499999999999,-1.2680000000000002,1201.45,0.35,1199.386,1199.5175,1212.5445,-2.064000000000078,-1.9325000000001185,11.094499999999924,-0.06,41.07,-1.98,41.266000000000005,40.46,35.8705,0.196000000000005,-0.6100000000000065,-5.1995000000000005,0.1700000000000007,1890.0,1.34,1845.28,1811.43,1756.7483333333332,-44.7199999999998,-78.57000000000016,-133.25166666666678,0.9800000000000002,1.785,6.19,1.7,1.7353,1.7531666666666668,-0.0849999999999999,-0.0496999999999998,-0.0318333333333331,0.7700000000000002,10461.42,-2.29,10623.638,10376.3275,9736.935833333331,162.21800000000076,-85.09250000000065,-724.4841666666689,99059.0,-0.0139999999999998,2216.19,-0.56,2214.614,2169.4225,2087.2546666666667,-1.5760000000000218,-46.76749999999993,-128.93533333333335,93454.0,0.2960000000000005,5,7,7,7,7,7,56,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.866666666666639,43.64285714285715
298540,55200.0,500.0,46000.0,7182381.0,20700.0,2020,235344099.0,40035565.0,16318756.0,139.47,-0.08,139.55,139.322,139.057,0.0800000000000125,-0.1479999999999961,-0.4130000000000109,0.01,11044.0,11.02,9976.28,9452.35,9442.823333333334,-1067.7199999999991,-1591.6499999999996,-1601.1766666666665,3.0139999999999985,24.74,-4.26,25.164,27.492,29.746500000000005,0.4239999999999995,2.751999999999999,5.006500000000006,0.3039999999999997,1195.57,-0.49,1197.9320000000002,1199.223,1211.6785000000002,2.3620000000003074,3.65300000000002,16.108500000000276,-0.088,41.6,0.75,41.564,40.695,36.502833333333335,-0.0360000000000013,-0.9050000000000012,-5.097166666666666,0.3980000000000007,1931.0,1.77,1885.5,1824.78,1763.6533333333332,-45.5,-106.22000000000004,-167.3466666666668,1.2240000000000002,1.734,-4.09,1.7366,1.7521999999999998,1.7434166666666664,0.0025999999999999,0.0181999999999997,0.0094166666666664,1.1640000000000004,10536.27,1.67,10549.472,10432.589,9788.522333333334,13.201999999999316,-103.6810000000005,-747.7476666666662,91298.0,-0.4259999999999998,2217.86,0.79,2218.396,2178.931,2096.1988333333334,0.5359999999996035,-38.92900000000054,-121.66116666666676,92862.0,0.1800000000000005,6,7,7,7,7,7,45,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.099999999999977,36.9
347890,52026.0,100.0,15600.0,8399102.0,9447.0,2020,24714875.0,6669529.0,6002613.0,139.75,0.04,139.624,139.3885,139.08366666666663,-0.1260000000000047,-0.3615000000000066,-0.6663333333333696,0.026,11117.0,1.69,10551.2,9620.005,9491.43,-565.7999999999993,-1496.994999999999,-1625.5699999999997,3.1459999999999986,24.1,-5.27,25.24,27.0165,29.4125,1.1400000000000006,2.916499999999999,5.3125,-0.0760000000000001,1189.79,-0.81,1197.554,1198.646,1210.649,7.764000000000124,8.855999999999995,20.85900000000015,-0.124,41.27,0.56,41.254000000000005,40.856,37.08233333333333,-0.0159999999999982,-0.4140000000000015,-4.187666666666672,-0.2959999999999992,1953.4,0.45,1923.3,1840.66,1771.9683333333337,-30.100000000000136,-112.74000000000024,-181.43166666666664,0.9320000000000002,1.854,3.0,1.7962,1.7638000000000005,1.74035,-0.0578,-0.0901999999999998,-0.11365,2.0400000000000005,10542.94,1.35,10461.18,10483.195000000002,9849.011666666664,-81.76000000000022,-59.74499999999898,-693.9283333333351,87849.0,-0.2959999999999998,2263.16,0.27,2230.928,2194.187,2107.7991666666667,-32.23199999999997,-68.97299999999996,-155.36083333333318,89949.0,0.3100000000000005,6,7,7,7,7,7,42,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,56.299999999999976,37.02857142857143
332570,81711.0,500.0,11000.0,37141356.0,15550.0,2020,125428748.0,11966074.0,11333859.0,140.08,0.04,139.80400000000003,139.48,139.12583333333333,-0.275999999999982,-0.6000000000000227,-0.95416666666668,0.07,11350.0,2.04,11113.2,9816.055,9538.095,-236.79999999999927,-1533.9449999999997,-1811.9049999999988,2.7579999999999982,24.46,-1.21,24.7,26.7095,29.14016666666667,0.2399999999999984,2.2494999999999976,4.680166666666668,-1.0340000000000005,1193.59,0.33,1193.6060000000002,1197.9225,1209.7148333333332,0.0160000000003037,4.332500000000209,16.1248333333333,-0.13,40.27,0.88,40.82000000000001,40.819,37.60416666666666,0.5500000000000043,0.5489999999999995,-2.665833333333339,-0.4859999999999993,1985.9,0.97,1956.34,1859.12,1780.5183333333332,-29.559999999999945,-126.78000000000044,-205.3816666666669,0.916,1.799,-1.64,1.8032,1.7712,1.74,0.0041999999999999,-0.0278,-0.0589999999999999,-0.0539999999999996,10745.28,1.49,10562.878,10531.7365,9910.171333333334,-182.40200000000004,-213.54349999999977,-835.108666666667,109000.0,0.7340000000000002,2249.37,-0.78,2250.878,2205.617,2118.498333333333,1.5080000000002656,-43.75300000000016,-130.87166666666644,73969.0,0.4420000000000005,6,7,7,7,7,7,37,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,84.7333333333333,40.90000000000001
