시장구분,회사명,종목코드,신고서제출일,수요예측일정,청약일정,납입일,상장예정일,상장일,주관사,주요제품,상장유형,증권구분,업종_x,국적,공모금액(백만원),액면가 (원),공모가 (원),최초상장주식수 (주),상장일시가,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률,report_year,매출액,영업이익,당기순이익
코스닥 상장추진,마이크로투나노,424980,2023-03-17,2023-04-10,2023-04-17,2023-04-20,2023-04-26,2023-04-26,한국투자증권㈜,메모리 테스트용 프로브 카드,신규상장,주권,반도체 제조업,대한민국,15500.0,500.0,15500.0,5918890.0,25200.0,62.6,20650.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0
코스닥 상장추진,금양그린파워,282720,2023-02-01,2023-02-23,2023-03-02,2023-03-07,2023-03-13,2023-03-13,삼성증권㈜,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역",신규상장,주권,전기 및 통신 공사업,대한민국,30073.0,500.0,10000.0,12119500.0,19000.0,90.0,16200.0,62.0,22850.0,128.5,0.0,0.0,0.0,0.0,0.0,0.0,2023,164987063.0,1411622.0,2540895.0
코스닥 상장추진,지아이이노베이션,358570,2023-01-30,2023-02-21,2023-02-27,2023-03-03,2023-03-09,2023-03-30,"엔에이치투자증권주식회사,하나증권주식회사,삼성증권㈜",면역항암제 및 알레르기 치료제,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,26000.0,500.0,13000.0,22004200.0,18950.0,45.8,20250.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,3500000.0,-67952024.0,-79833059.0
코스닥 상장추진,LB인베스트먼트,309960,2023-01-26,2023-03-13,2023-03-20,2023-03-23,2023-03-29,2023-03-29,미래에셋증권 주식회사,중소기업 창업투자,신규상장,주권,기타 금융업,대한민국,23552.0,1000.0,5100.0,23217239.0,6500.0,27.5,8450.0,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,18524984.0,0.0,3860468.0
코스닥 상장추진,자람테크놀로지,389020,2023-01-19,2023-02-15,2023-02-22,2023-02-27,2023-03-07,2023-03-07,신영증권㈜,"XGSPON, 기가와이어, 광트랜시버 등",신규상장,주권,반도체 제조업,대한민국,20460.0,500.0,22000.0,6197730.0,44000.0,100.0,42700.0,94.1,48300.0,119.5,0.0,0.0,0.0,0.0,0.0,0.0,2023,16118236.0,202950.0,617353.0
코스닥 상장추진,바이오인프라,199730,2023-01-19,2023-02-13,2023-02-20,2023-02-23,2023-03-02,2023-03-02,DB금융투자주식회사,"생동성시험, 검체 분석",신규상장,주권,자연과학 및 공학 연구개발업,대한민국,13650.0,500.0,21000.0,4796867.0,42000.0,100.0,29400.0,40.0,24300.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,2023,35427368.0,6360196.0,6237199.0
코스닥 상장추진,오브젠,417860,2023-01-13,2023-01-10,2023-01-16,2023-01-19,2023-01-30,2023-01-30,한국투자증권㈜,CRM 소프트웨어,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,13967.0,500.0,18000.0,3879775.0,36000.0,100.0,46800.0,160.0,63400.0,252.2,0.0,0.0,0.0,0.0,0.0,0.0,2023,25933381.0,-2045438.0,-1946752.0
코스닥 상장추진,나노팀,417010,2023-01-10,2023-02-14,2023-02-20,2023-02-23,2023-03-03,2023-03-03,한국투자증권㈜,전기차용 방열제품,신규상장,주권,일반 목적용 기계 제조업,대한민국,26650.0,500.0,13000.0,19154328.0,26000.0,100.0,29800.0,129.2,36900.0,183.8,0.0,0.0,0.0,0.0,0.0,0.0,2023,38456611.0,3030382.0,4139728.0
코스닥 상장추진,꿈비,407400,2022-12-29,2023-01-26,2023-01-31,2023-02-03,2023-02-09,2023-02-09,키움증권㈜,"놀이방매트, 유아거실가구 등",신규상장,주권,가구 제조업,대한민국,10000.0,100.0,5000.0,7938930.0,10000.0,100.0,13000.0,160.0,26750.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,20850821.0,2397684.0,1808477.0
코스닥 상장추진,제이오,418550,2022-12-23,2023-02-01,2023-02-07,2023-02-10,2023-02-16,2023-02-16,한국투자증권㈜,"탄소나노튜브, 금속탱크 및 유사용기",신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",대한민국,52000.0,100.0,13000.0,31336273.0,19900.0,53.1,21500.0,65.4,27450.0,111.2,0.0,0.0,0.0,0.0,0.0,0.0,2022,78702797.0,-3935327.0,-14605084.0
