시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,,,,,,,지정자문인
코스닥 상장추진,키움제8호스팩,2023-04-06,   2023-05-02,   2023-05-08,2023-05-11,-,-,2023-05-17,키움증권㈜
,,,~ 2023-05-03,~ 2023-05-09,,,,,
코스닥 상장추진,기가비스,2023-03-31,   2023-04-24,   2023-05-02,2023-05-08,-,-,2023-05-15,삼성증권㈜
,,,~ 2023-04-25,~ 2023-05-03,,,,,
코스닥 상장추진,마이크로투나노,2023-03-17,   2023-04-10,   2023-04-17,2023-04-20,"15,500","15,500",2023-04-26,한국투자증권㈜
,,,~ 2023-04-11,~ 2023-04-18,,,,,
코스닥 상장추진,토마토시스템,2023-03-16,   2023-04-10,   2023-04-18,2023-04-21,"18,200","15,652",2023-04-27,교보증권㈜
,,,~ 2023-04-11,~ 2023-04-19,,,,,
코스닥 상장추진,하나27호스팩,2023-02-23,   2023-03-20,   2023-03-27,2023-03-30,"2,000","10,000",2023-04-06,하나증권주식회사
,,,~ 2023-03-21,~ 2023-03-28,,,,,
코스닥 상장추진,IBKS제22호스팩,2023-02-23,   2023-03-22,   2023-03-27,2023-03-30,"2,000","8,000",2023-04-06,IBK투자증권㈜
,,,~ 2023-03-22,~ 2023-03-28,,,,,
코스닥 상장추진,미래에셋비전스팩3호,2023-02-22,   2023-03-21,   2023-03-28,2023-03-31,"2,000","9,000",2023-04-07,미래에셋증권 주식회사
,,,~ 2023-03-22,~ 2023-03-29,,,,,
코스닥 상장추진,에스바이오메딕스,2023-02-13,   2023-04-17,   2023-04-24,2023-04-27,"18,000","13,500",2023-05-04,미래에셋증권 주식회사
,,,~ 2023-04-18,~ 2023-04-25,,,,,
유가증권 상장추진,삼성FN리츠,2023-02-10,   2023-03-20,   2023-03-27,2023-03-30,"5,000","118,900",2023-04-10,"삼성증권㈜,한국투자증권㈜"
,,,~ 2023-03-21,~ 2023-03-28,,,,,
유가증권 상장추진,한화리츠,2023-02-07,   2023-03-06,   2023-03-13,2023-03-16,"5,000","116,000",2023-03-27,"한국투자증권㈜,한화투자증권㈜"
,,,~ 2023-03-07,~ 2023-03-14,,,,,
코스닥 상장추진,금양그린파워,2023-02-01,   2023-02-23,   2023-03-02,2023-03-07,"10,000","30,073",2023-03-13,삼성증권㈜
,,,~ 2023-02-24,~ 2023-03-03,,,,,
코스닥 상장추진,지아이이노베이션,2023-01-30,   2023-02-21,   2023-02-27,2023-03-03,"13,000","26,000",2023-03-09,"하나증권주식회사,엔에이치투자증권주식회사,삼성증권㈜"
,,,~ 2023-02-22,~ 2023-02-28,,,,,
코스닥 상장추진,미래에셋드림스팩1호,2023-01-27,   2023-02-27,   2023-03-06,2023-03-09,"10,000","70,000",2023-03-15,미래에셋증권 주식회사
,,,~ 2023-02-28,~ 2023-03-07,,,,,
코스닥 상장추진,엔에이치스팩28호,2023-01-26,   2023-02-20,   2023-02-27,2023-03-03,"2,000","6,800",2023-03-09,엔에이치투자증권주식회사
,,,~ 2023-02-21,~ 2023-02-28,,,,,
코스닥 상장추진,LB인베스트먼트,2023-01-26,   2023-03-13,   2023-03-20,2023-03-23,"5,100","23,552",2023-03-29,미래에셋증권 주식회사
,,,~ 2023-03-14,~ 2023-03-21,,,,,
코스닥 상장추진,하나26호스팩,2023-01-25,   2023-02-16,   2023-02-22,2023-02-27,"2,000","11,000",2023-03-07,하나증권주식회사
,,,~ 2023-02-17,~ 2023-02-23,,,,,
코스닥 상장추진,유안타제12호스팩,2023-01-20,   2023-03-02,   2023-03-07,2023-03-10,"2,000","9,000",2023-03-17,유안타증권㈜
,,,~ 2023-03-03,~ 2023-02-08,,,,,
코스닥 상장추진,자람테크놀로지,2023-01-19,   2023-02-15,   2023-02-22,2023-02-27,"22,000","20,460",2023-03-07,신영증권㈜
,,,~ 2023-02-16,~ 2023-02-23,,,,,
코스닥 상장추진,바이오인프라,2023-01-19,   2023-02-13,   2023-02-20,2023-02-23,"21,000","13,650",2023-03-02,DB금융투자주식회사
,,,~ 2023-02-14,~ 2023-02-21,,,,,
코스닥 상장추진,이노진,2023-01-18,   2023-02-06,   2023-02-09,2023-02-14,"3,000","7,800",2023-02-20,IBK투자증권㈜
,,,~ 2023-02-07,~ 2023-02-10,,,,,
코스닥 상장추진,유안타제13호스팩,2023-01-18,   2023-02-13,   2023-02-16,2023-02-21,"2,000","17,000",2023-02-28,유안타증권㈜
,,,~ 2023-02-14,~ 2023-02-17,,,,,
코스닥 상장추진,삼성스팩8호,2023-01-16,   2023-02-14,   2023-02-20,2023-02-23,"10,000","40,000",2023-03-02,삼성증권㈜
,,,~ 2023-02-15,~ 2023-02-21,,,,,
코스닥 상장추진,오브젠,2023-01-13,   2023-01-10,   2023-01-16,2023-01-19,"18,000","13,967",2023-01-30,한국투자증권㈜
,,,~ 2023-01-11,~ 2023-01-17,,,,,
코스닥 상장추진,오아시스,2023-01-12,   2023-02-07,   2023-02-14,2023-02-17,-,-,2023-02-23,"엔에이치투자증권주식회사,한국투자증권㈜"
,,,~ 2023-02-08,~ 2023-02-15,,,,,
코스닥 상장추진,미래에셋비전스팩2호,2023-01-11,   2023-02-07,   2023-02-14,2023-02-17,"2,000","9,300",2023-02-24,미래에셋증권 주식회사
,,,~ 2023-02-08,~ 2023-02-15,,,,,
코스닥 상장추진,나노팀,2023-01-10,   2023-02-14,   2023-02-20,2023-02-23,"13,000","26,650",2023-03-03,한국투자증권㈜
,,,~ 2023-02-15,~ 2023-02-21,,,,,
코스닥 상장추진,꿈비,2022-12-29,   2023-01-26,   2023-01-31,2023-02-03,"5,000","10,000",2023-02-09,키움증권㈜
,,,~ 2023-01-27,~ 2023-02-01,,,,,
코스닥 상장추진,블루포인트파트너스,2022-12-28,   2023-03-07,   2023-03-13,2023-03-16,-,-,2023-03-22,한국투자증권㈜
,,,~ 2023-03-08,~ 2023-03-14,,,,,
코스닥 상장추진,제이오,2022-12-23,   2023-02-01,   2023-02-07,2023-02-10,"13,000","52,000",2023-02-16,한국투자증권㈜
,,,~ 2023-02-02,~ 2023-02-08,,,,,
코스닥 상장추진,삼기이브이,2022-12-22,   2023-01-17,   2023-01-25,2023-01-30,"11,000","39,072",2023-02-03,대신증권㈜
,,,~ 2023-01-18,~ 2023-01-26,,,,,
코스닥 상장추진,미래반도체,2022-12-19,   2023-01-10,   2023-01-16,2023-01-19,"6,000","21,600",2023-01-27,신한투자증권 주식회사
,,,~ 2023-01-11,~ 2023-01-17,,,,,
코스닥 상장추진,알피바이오,2022-12-16,   2022-09-15,   2022-09-20,2022-09-23,"13,000","15,600",2022-09-29,한국투자증권㈜
,,,~ 2022-09-16,~ 2022-09-21,,,,,
코스닥 상장추진,스튜디오미르,2022-12-16,   2023-01-16,   2023-01-26,2023-01-31,"19,500","19,500",2023-02-07,미래에셋증권 주식회사
,,,~ 2023-01-17,~ 2023-01-27,,,,,
코스닥 상장추진,샌즈랩,2022-12-16,   2023-02-01,   2023-02-06,2023-02-09,"10,500","38,850",2023-02-15,키움증권㈜
,,,~ 2023-02-02,~ 2023-02-07,,,,,
코스닥 상장추진,티이엠씨,2022-12-13,   2023-01-04,   2023-01-10,2023-01-13,"28,000","50,400",2023-01-19,한화투자증권㈜
,,,~ 2023-01-05,~ 2023-01-11,,,,,
코스닥 상장추진,한주라이트메탈,2022-11-18,   2023-01-04,   2023-01-10,2023-01-13,"3,100","20,150",2023-01-19,"현대차증권주식회사,미래에셋증권 주식회사"
,,,~ 2023-01-05,~ 2023-01-11,,,,,
코스닥 상장추진,신영스팩9호,2022-11-18,   2022-12-12,   2022-12-15,2022-12-20,"2,000","10,300",2022-12-27,신영증권㈜
,,,~ 2022-12-13,~ 2022-12-16,,,,,
코스닥 상장추진,비엔케이제1호스팩,2022-11-11,   2022-12-05,   2022-12-12,2022-12-15,"2,000","8,000",2022-12-22,㈜비엔케이투자증권
,,,~ 2022-12-06,~ 2022-12-13,,,,,
코스닥 상장추진,엔에이치스팩27호,2022-11-08,   2022-11-30,   2022-12-06,2022-12-09,"2,000","13,000",2022-12-16,엔에이치투자증권주식회사
,,,~ 2022-12-01,~ 2022-12-07,,,,,
코스닥 상장추진,IBKS제21호스팩,2022-11-02,   2022-12-01,   2022-12-06,2022-12-09,"2,000","8,000",2022-12-16,IBK투자증권㈜
,,,~ 2022-12-02,~ 2022-12-07,,,,,
코스닥 상장추진,대신밸런스제14호스팩,2022-10-28,   2022-11-21,   2022-11-24,2022-11-29,"2,000","11,000",2022-12-05,대신증권㈜
,,,~ 2022-11-22,~ 2022-11-25,,,,,
코스닥 상장추진,유진스팩9호,2022-10-24,   2022-11-17,   2022-11-22,2022-11-25,"2,000","6,500",2022-12-01,유진투자증권㈜
,,,~ 2022-11-18,~ 2022-11-23,,,,,
코스닥 상장추진,엔에이치스팩26호,2022-10-21,   2022-11-15,   2022-11-21,2022-11-24,"2,000","15,000",2022-12-01,엔에이치투자증권주식회사
,,,~ 2022-11-16,~ 2022-11-22,,,,,
코스닥 상장추진,대신밸런스제13호스팩,2022-10-18,   2022-11-14,   2022-11-17,2022-11-22,"2,000","10,000",2022-11-28,대신증권㈜
,,,~ 2022-11-15,~ 2022-11-18,,,,,
유가증권 상장추진,바이오노트,2022-10-13,   2022-11-07,   2022-11-10,2022-11-15,"9,000","93,600",2022-11-21,"엔에이치투자증권주식회사,한국투자증권㈜"
