회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
,,,,,,,지정자문인,,,,,
마이크로투나노,424980,2023-04-26,신규상장,주권,반도체 제조업,대한민국,한국투자증권(주),500,"15,500","15,500,000",메모리 테스트용 프로브 카드,"5,918,890"
노보믹스,283100,2023-04-19,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,대신증권(주),500,-,-,위암 예후예측 진단키트,"6,531,568"
삼성FN리츠,448730,2023-04-10,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),삼성증권(주)",500,"5,000","118,900,000",대치타워 및 에스원빌딩,"77,300,000"
미래에셋비전스팩3호,448830,2023-04-07,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","9,000,000",기업인수목적회사(기타금융서비스),"4,920,000"
하나27호스팩,448370,2023-04-06,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","10,000,000",기업인수합병,"5,620,000"
IBKS제22호스팩,448760,2023-04-06,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","8,000,000",기업인수 및 합병,"4,430,000"
지아이이노베이션,358570,2023-03-30,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,"엔에이치투자증권주식회사,하나증권주식회사,삼성증권(주)",500,"13,000","26,000,000",면역항암제 및 알레르기 치료제,"22,004,200"
LB인베스트먼트,309960,2023-03-29,신규상장,주권,기타 금융업,대한민국,미래에셋증권 주식회사,"1,000","5,100","23,552,040",중소기업 창업투자,"23,217,239"
한화리츠,451800,2023-03-27,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),한화투자증권(주)",500,"5,000","116,000,000",부동산투자,"70,600,000"
유안타제12호스팩,446150,2023-03-17,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","9,000,000",기업인수합병,"4,770,000"
미래에셋드림스팩1호,442900,2023-03-15,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,500,"10,000","70,000,000",기업인수합병,"7,680,000"
금양그린파워,282720,2023-03-13,신규상장,주권,전기 및 통신 공사업,대한민국,삼성증권(주),500,"10,000","30,073,200","플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역","12,119,500"
