(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
슈어소프트테크,298830,2023-04-28,"27,125,159","29,535,088","33,202,566",0,0,"5,378,116","5,114,182","7,049,934",0,0,"5,402,236","3,761,248","6,875,028",0,0
토마토시스템,393210,2023-04-27,"18,216,708","18,915,589","22,856,124","27,089,927",0,"1,175,324","649,521","1,493,135","7,457,456",0,"3,638,073","-925,322","1,285,576","4,576,291",0
마이크로투나노,424980,2023-04-26,"23,065,344","23,895,965","31,706,907",0,0,"1,023,978","1,209,433","4,892,916",0,0,"365,111","1,664,260","4,208,390",0,0
셀바이오휴먼텍,318160,2023-04-20,"23,511,181",0,0,0,0,"5,039,800",0,0,0,0,"4,483,685",0,0,0,0
노보믹스,283100,2023-04-19,"5,208",0,0,0,0,"-4,685,462",0,0,0,0,"-6,546,335",0,0,0,0
SK오션플랜트,100090,2023-04-19,"265,255,697","368,686,071","451,450,156","654,274,379",0,"17,161,252","19,588,654","35,375,747","51,600,144",0,"-22,170,164","5,684,841","-48,937,833","24,926,400",0
미래에셋비전스팩3호,448830,2023-04-07,0,0,0,0,0,0,0,0,"-8,069",0,0,0,0,"-19,579",0
IBKS제22호스팩,448760,2023-04-06,0,0,0,0,0,0,0,0,"-18,460",0,0,0,0,"-26,150",0
하나27호스팩,448370,2023-04-06,0,0,0,0,0,0,0,0,"-10,750",0,0,0,0,"-11,460",0
지아이이노베이션,358570,2023-03-30,"3,513,610",0,0,"3,500,000",0,"-15,405,585",0,0,"-67,952,024",0,"-49,196,432",0,0,"-79,833,059",0
LB인베스트먼트,309960,2023-03-29,"19,555,265","27,969,997","49,373,069","18,524,984",0,0,0,0,0,0,"4,827,002","11,748,914","24,584,115","3,860,468",0
한화리츠,451800,2023-03-27,0,0,0,0,0,0,0,0,-1,0,0,0,0,74,0
유안타제12호스팩,446150,2023-03-17,0,0,0,0,0,0,0,0,"-18,544",0,0,0,0,"-20,258",0
엑스게이트,356680,2023-03-16,"19,160,778","23,647,659","30,903,124","38,299,254",0,"1,868,008","2,704,359","3,681,999","5,417,930",0,"1,870,761","2,629,500","3,283,069","4,578,999",0
미래에셋드림스팩1호,442900,2023-03-15,0,0,0,0,0,0,0,0,"-22,604",0,0,0,0,"-133,435",0
금양그린파워,282720,2023-03-13,"147,362,647","147,683,781","152,025,509","164,987,063",0,"8,167,397","4,695,805","5,747,650","1,411,622",0,"4,037,645","1,532,529","3,865,661","2,540,895",0
라온텍,418420,2023-03-09,0,"5,759,281","5,786,383","10,916,365",0,0,"-132,111","-1,564,126","322,445",0,0,"-2,899,345","-3,231,712","585,383",0
