(단위 : 천원),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),,영업이익,,당기순이익,
,,,(재무),(재무),,,,,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
슈어소프트테크,298830,2023-04-28,2021,12월,소프트웨어 개발 및 공급업,"72,559,095","27,770,455","44,788,639","33,202,566",12,"7,049,934",37,"6,875,028",82
토마토시스템,393210,2023-04-27,2022,12월,소프트웨어 개발 및 공급업,"17,321,124","4,591,676","12,729,448","27,089,927",18,"7,457,456",399,"4,576,291",256
마이크로투나노,424980,2023-04-26,2021,12월,반도체 제조업,"45,199,526","25,269,528","19,929,997","31,706,907",32,"4,892,916",304,"4,208,390",152
셀바이오휴먼텍,318160,2023-04-20,-,-,기타 섬유제품 제조업,0,0,0,0,0,0,0,0,0
SK오션플랜트,100090,2023-04-19,2022,12월,1차 철강 제조업,"1,190,066,054","668,375,804","521,690,250","654,274,379",44,"51,600,144",45,"24,926,400",150
노보믹스,283100,2023-04-19,-,-,자연과학 및 공학 연구개발업,0,0,0,0,0,0,0,0,0
현대그린푸드,453340,2023-04-10,-,-,종합 소매업,0,0,0,0,0,0,0,0,0
미래에셋비전스팩3호,448830,2023-04-07,2022,12월,금융 지원 서비스업,"2,991,408","2,078,731","912,678",0,0,"-8,069",888,"-19,579",888
IBKS제22호스팩,448760,2023-04-06,2022,12월,금융 지원 서비스업,"1,976,956","1,224,360","752,596",0,0,"-18,460",888,"-26,150",888
하나27호스팩,448370,2023-04-06,2022,12월,금융 지원 서비스업,"2,296,623","1,378,041","918,582",0,0,"-10,750",888,"-11,460",888
한화갤러리아,452260,2023-03-31,-,-,종합 소매업,0,0,0,0,0,0,0,0,0
지아이이노베이션,358570,2023-03-30,2022,12월,자연과학 및 공학 연구개발업,"106,334,652","10,688,442","95,646,210","3,500,000",-37,"-67,952,024",-121,"-79,833,059",47
LB인베스트먼트,309960,2023-03-29,2022,12월,기타 금융업,"102,768,038","8,335,773","94,432,265","18,524,984",-62,"4,752,016",-84,"3,860,468",-84
유안타제12호스팩,446150,2023-03-17,2022,12월,금융 지원 서비스업,"1,433,030","967,355","465,675",0,0,"-18,544",888,"-20,258",888
엑스게이트,356680,2023-03-16,2022,12월,소프트웨어 개발 및 공급업,"34,707,346","12,134,381","22,572,965","38,299,254",23,"5,417,930",47,"4,578,999",39
미래에셋드림스팩1호,442900,2023-03-15,2022,12월,금융 지원 서비스업,"14,973,402","9,716,463","5,256,939",0,0,"-22,604",888,"-133,435",888
금양그린파워,282720,2023-03-13,2022,12월,전기 및 통신 공사업,"94,990,238","45,033,544","49,956,694","164,987,063",8,"1,411,622",-75,"2,540,895",-34
라온텍,418420,2023-03-09,2022,12월,전자부품 제조업,"12,590,367","5,107,464","7,482,903","10,916,365",88,"322,445",120,"585,383",118
엔에이치스팩28호,450410,2023-03-09,2022,12월,금융 지원 서비스업,"1,183,850","528,894","654,956",0,0,"-10,173",888,"-10,729",888
자람테크놀로지,389020,2023-03-07,2022,12월,반도체 제조업,"19,816,073","993,489","18,822,583","16,118,236",12,"202,950",-30,"617,353",-47
하나26호스팩,446750,2023-03-07,2022,12월,금융 지원 서비스업,"2,397,082","1,583,535","813,547",0,0,"-14,420",888,"-16,530",888
나노팀,417010,2023-03-03,2022,12월,일반 목적용 기계 제조업,"47,009,553","28,824,494","18,185,060","38,456,611",42,"3,030,382",-32,"4,139,728",-8
삼성스팩8호,448740,2023-03-02,2022,12월,금융 지원 서비스업,"7,979,967","3,758,510","4,221,457",0,0,"-7,118",888,"-29,780",888
바이오인프라,199730,2023-03-02,2022,12월,자연과학 및 공학 연구개발업,"32,589,281","14,679,779","17,909,502","35,427,368",15,"6,360,196",-14,"6,237,199",0
유안타제13호스팩,449020,2023-02-28,2022,12월,금융 지원 서비스업,"2,992,616","1,407,900","1,584,716",0,0,"-10,452",888,"-8,124",888
미래에셋비전스팩2호,446190,2023-02-24,2022,12월,금융 지원 서비스업,"2,708,529","1,978,732","729,797",0,0,"-10,407",888,"-12,065",888
이노진,344860,2023-02-20,2022,12월,기타 화학제품 제조업,"7,949,480","1,205,077","6,744,403","9,139,387",-2,"1,487,584",-38,"1,339,325",-40
화인써키트,127980,2023-02-17,2022,12월,전자부품 제조업,"49,996,384","18,742,641","31,253,743","64,370,930",-2,"4,116,472",-12,"3,587,093",-18
제이오,418550,2023-02-16,2022,12월,"건축기술, 엔지니어링 및 관련 기술 서비스업","84,819,059","25,975,983","58,843,076","67,655,302",-14,"-2,264,547",42,"-5,687,829",61
샌즈랩,411080,2023-02-15,2022,12월,소프트웨어 개발 및 공급업,"9,776,465","7,778,049","1,998,416","9,299,538",71,"2,089,463",327,"2,155,040",193
꿈비,407400,2023-02-09,2022,12월,가구 제조업,"16,021,546","7,883,980","8,137,566","26,910,769",29,"1,139,543",-52,"1,318,475",-27
스튜디오미르,408900,2023-02-07,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","25,125,719","4,186,145","20,939,574","25,781,361",79,"4,114,414",412,"1,431,276",-32
삼기이브이,419050,2023-02-03,2022,12월,자동차 신품 부품 제조업,"92,591,889","48,656,139","43,935,750","107,029,528",-8,"8,594,134",15,"7,984,065","3,801"
코오롱모빌리티그룹,450140,2023-01-31,-,-,자동차 판매업,0,0,0,0,0,0,0,0,0
오브젠,417860,2023-01-30,2022,12월,소프트웨어 개발 및 공급업,"10,533,316","10,427,336","105,979","25,933,381",29,"-2,045,438",35,"-1,946,752",40
미래반도체,254490,2023-01-27,2022,12월,기타 전문 도매업,"114,459,285","60,108,350","54,350,935","550,152,695",67,"22,103,489",12,"15,026,691",1
지슨,289860,2023-01-26,2022,12월,소프트웨어 개발 및 공급업,"12,518,542","8,727,197","3,791,346","9,394,292",0,"-2,370,300",-899,"-3,070,288",11
태양3C,052960,2023-01-26,2022,12월,자동차 부품 및 내장품 판매업,"61,649,261","26,210,218","35,439,043","62,652,332",4,"3,555,940",66,"2,326,427",-18
티이엠씨,425040,2023-01-19,2022,12월,기초 화학물질 제조업,"198,967,569","99,464,226","99,503,343","346,654,652",292,"52,041,545",320,"41,356,275",298
한주라이트메탈,198940,2023-01-19,2022,12월,1차 비철금속 제조업,"183,940,512","141,864,494","42,076,018","242,038,430",28,"7,968,743",12,"3,127,604",-22
옵티코어,380540,2022-12-29,2022,12월,마그네틱 및 광학 매체 제조업,"36,266,948","14,824,750","21,442,198","24,198,585",-27,"-2,469,191",-144,"-10,587,575",-513
아이오바이오,447690,2022-12-28,2022,12월,의료용 기기 제조업,"1,707,870","1,497,781","210,088","1,191,396",-9,"-1,920,187",-18,"-1,515,055",8
타이드,346010,2022-12-28,2022,12월,전자부품 제조업,"12,710,329","8,658,021","4,052,308","6,831,122",-63,"-1,732,698",-439,"-2,207,485",-791
신영스팩9호,445970,2022-12-27,2022,12월,금융 지원 서비스업,"12,335,625","1,633,584","10,702,041",0,0,"-26,194",888,"-24,263",888
지에프씨생명과학,388610,2022-12-23,2022,12월,기타 화학제품 제조업,"18,487,197","9,626,685","8,860,511","14,158,238",3,"602,551",-56,"327,303",-79
신스틸,162300,2022-12-23,2022,12월,1차 철강 제조업,"134,243,535","71,308,937","62,934,598","275,134,563",10,"11,046,897",-21,"5,887,783",-65
카이바이오텍,446600,2022-12-23,2022,12월,의약품 제조업,"4,614,264","4,355,688","258,576","4,483,512",126,"-503,327",34,"-571,495",32
바이오노트,377740,2022-12-22,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"1,096,584,391","49,611,854","1,046,972,537","475,158,632",-23,"298,440,452",-36,"149,679,211",-62
비엔케이제1호스팩,445360,2022-12-22,2022,12월,금융 지원 서비스업,"9,541,179","1,143,077","8,398,102",0,0,"-20,447",888,"-13,016",888
마이크로엔엑스,448780,2022-12-21,2022,12월,의료용 기기 제조업,"23,834,855","14,349,648","9,485,207","8,731,655",24,"1,111,074",442,"783,927","2,397"
애니메디솔루션,390110,2022-12-21,2022,12월,의료용 기기 제조업,"9,264,697","3,836,416","5,428,281","655,390",96,"-6,470,740",17,"-7,014,810",37
엔에이치스팩27호,440820,2022-12-16,2022,12월,금융 지원 서비스업,"14,994,007","769,011","14,224,996",0,0,"-20,961",888,"22,107",888
IBKS제21호스팩,442770,2022-12-16,2022,12월,금융 지원 서비스업,"9,831,153","1,518,543","8,312,610",0,0,"-31,803",888,"-25,387",888
핑거스토리,417180,2022-12-08,2022,12월,기타 정보 서비스업,"18,980,723","4,671,057","14,309,666","17,409,150",6,"986,842",-19,"-3,606,105",-443
SAMG엔터,419530,2022-12-06,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","76,421,164","28,809,169","47,611,995","68,319,252",78,"265,377",-92,"-22,423,778",-102
대신밸런스제14호스팩,442310,2022-12-05,2022,12월,금융 지원 서비스업,"13,033,990","758,832","12,275,158",0,0,"-32,713",888,"-5,452",888
엔에이치스팩26호,439410,2022-12-01,2022,12월,금융 지원 서비스업,"17,819,203","1,400,269","16,418,935",0,0,"-22,164",888,"52,480",888
유진스팩9호,442130,2022-12-01,2022,12월,금융 지원 서비스업,"7,854,764","1,051,131","6,803,632",0,0,"-23,042",888,"-1,553",888
아하,102950,2022-11-30,2022,03월,전자부품 제조업,"78,537,557","41,957,523","36,580,034","71,023,341",14,"7,544,139",-18,"4,695,537",125
에이아이더뉴트리진,311960,2022-11-29,2022,12월,기타 식품 제조업,"25,774,727","9,897,101","15,877,626","7,274,033",-13,"-1,182,088",-193,"-780,815",-176
대신밸런스제13호스팩,438220,2022-11-28,2022,12월,금융 지원 서비스업,"11,658,363","929,785","10,728,578",0,0,"-33,065",888,"-8,427",888
유니드비티플러스,446070,2022-11-28,2022,12월,제재 및 목재 가공업,"213,631,275","21,499,364","192,131,911","29,221,282",888,"1,427,051",888,"959,502",888
펨트론,168360,2022-11-24,2022,12월,특수 목적용 기계 제조업,"72,540,612","46,670,761","25,869,851","60,982,717",5,"6,263,106",50,"5,114,782",13
인벤티지랩,389470,2022-11-22,2022,12월,의약품 제조업,"34,861,903","4,427,097","30,434,805","3,723,683",100,"-10,901,805",-14,"-10,595,329",-14
엔젯,419080,2022-11-18,2022,12월,특수 목적용 기계 제조업,"53,769,886","6,402,611","47,367,275","21,665,643",115,"5,296,439",199,"4,113,326",113
유비온,084440,2022-11-18,2022,09월,소프트웨어 개발 및 공급업,"18,827,517","14,449,535","4,377,982","31,461,108",12,"2,344,665",36,"2,150,768",49
티에프이,425420,2022-11-17,2022,12월,전자부품 제조업,"75,312,697","16,221,517","59,091,180","58,639,931",-11,"5,785,247",-36,"4,871,962",-43
티쓰리,204610,2022-11-17,2022,12월,소프트웨어 개발 및 공급업,"113,836,189","11,820,848","102,015,341","22,142,677",-4,"9,298,268",-11,"9,169,761",-16
윤성에프앤씨,372170,2022-11-14,2022,12월,"구조용 금속제품, 탱크 및 증기발생기 제조업","277,569,869","139,816,655","137,753,214","210,275,586",177,"32,072,533",795,"24,762,677",949
디티앤씨알오,383930,2022-11-11,2022,12월,자연과학 및 공학 연구개발업,"64,534,991","18,214,403","46,320,588","44,007,700",34,"5,293,711",7,"5,255,503",21
뉴로메카,348340,2022-11-04,2022,12월,특수 목적용 기계 제조업,"43,781,530","4,026,352","39,755,177","9,620,858",31,"-7,846,711",-186,"-8,256,456",-23
제이아이테크,417500,2022-11-04,2022,12월,기타 화학제품 제조업,"84,457,115","22,738,917","61,718,198","68,290,729",233,"10,390,051",83,"10,531,497",122
케이비제23호스팩,440200,2022-11-03,2022,12월,금융 지원 서비스업,"14,338,247","1,985,014","12,353,233",0,0,"-64,815",888,"25,159",888
엔에이치스팩25호,438580,2022-11-03,2022,12월,금융 지원 서비스업,"5,924,387","398,171","5,526,216",0,0,"-22,623",888,"16,759",888
LX세미콘,108320,2022-11-03,2022,12월,반도체 제조업,"1,282,402,041","337,591,802","944,810,239","2,119,345,364",11,"309,045,577",-16,"230,607,639",-21
큐알티,405100,2022-11-02,2022,12월,"그외 기타 전문, 과학 및 기술 서비스업","139,469,778","33,342,417","106,127,361","56,902,827",-19,"11,959,303",-35,"6,927,295",-55
교보13호스팩,440790,2022-11-02,2022,12월,금융 지원 서비스업,"9,877,022","1,805,229","8,071,793",0,0,"-42,154",888,"-11,619",888
저스템,417840,2022-10-28,2022,12월,특수 목적용 기계 제조업,"70,484,463","19,678,212","50,806,251","46,098,648",2,"7,144,356",0,"6,322,186",10
IBKS제20호스팩,439730,2022-10-28,2022,12월,금융 지원 서비스업,"9,864,124","1,425,622","8,438,502",0,0,"-28,754",888,"4,935",888
산돌,419120,2022-10-27,2022,12월,소프트웨어 개발 및 공급업,"65,979,286","10,794,789","55,184,496","17,544,241",56,"8,234,981",81,"8,833,451","5,008"
삼성스팩7호,439250,2022-10-26,2022,12월,금융 지원 서비스업,"35,736,659","3,060,013","32,676,646",0,0,"-30,697",888,"123,696",888
탈로스,434190,2022-10-24,2022,12월,일차전지 및 축전지 제조업,"13,096,423","6,749,016","6,347,407","12,856,659",50,"2,330,214",259,"885,239",271
플라즈맵,405000,2022-10-21,2022,12월,의료용 기기 제조업,"38,276,508","26,854,332","11,422,176","13,305,796",109,"-15,251,744",-43,"-15,515,627",28
엔에이치스팩24호,437780,2022-10-20,2022,12월,금융 지원 서비스업,"9,896,829","591,827","9,305,002",0,0,"-27,154",888,"36,303",888
핀텔,291810,2022-10-20,2022,12월,소프트웨어 개발 및 공급업,"27,092,329","6,397,753","20,694,576","8,765,256",6,"-3,657,564",-328,"-3,764,289",-55
한국제11호스팩,436610,2022-10-20,2022,12월,금융 지원 서비스업,"11,894,718","858,990","11,035,728",0,0,"-21,643",888,"46,718",888
하나금융25호스팩,435620,2022-10-20,2022,12월,금융 지원 서비스업,"46,963,366","4,980,425","41,982,942",0,0,"-18,143",888,"237,848",888
샤페론,378800,2022-10-19,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"35,151,260","5,871,485","29,279,775","2,000,000",282,"-11,029,970",-5,"-10,672,728",55
탑머티리얼,360070,2022-10-18,2022,12월,일차전지 및 축전지 제조업,"121,399,594","25,065,121","96,334,474","63,019,955",97,"11,772,052",144,"10,555,713",146
비스토스,419540,2022-10-18,2022,12월,의료용 기기 제조업,"20,498,114","4,573,487","15,924,627","23,963,204",16,"912,890",-42,"-4,502,438",-342
에스비비테크,389500,2022-10-17,2022,12월,일반 목적용 기계 제조업,"30,753,092","8,684,724","22,068,368","7,469,840",10,"-1,836,705",17,"-5,266,381",-87
오에스피,368970,2022-10-14,2022,12월,동물용 사료 및 조제식품 제조업,"37,421,464","2,770,705","34,650,760","16,800,325",7,"1,093,401",-61,"1,101,244",-61
모델솔루션,417970,2022-10-07,2022,12월,특수 목적용 기계 제조업,"89,443,130","26,451,066","62,992,064","68,886,235",14,"9,824,031",15,"7,818,794",10
이노룰스,296640,2022-10-07,2022,12월,소프트웨어 개발 및 공급업,"34,093,321","2,953,025","31,140,296","15,578,058",-2,"1,109,361",-66,"1,977,691",-34
파인엠텍,441270,2022-10-07,2022,12월,전자부품 제조업,"190,624,690","92,535,705","98,088,986","38,750,913",888,"5,229,533",888,"-8,160,627",888
유안타제10호스팩,435380,2022-10-06,2022,12월,금융 지원 서비스업,"12,886,712","1,514,227","11,372,485",0,0,"-36,636",888,"25,388",888
SK증권제8호스팩,435870,2022-10-06,2022,12월,금융 지원 서비스업,"7,955,547","672,287","7,283,259",0,0,"-38,181",888,"41,375",888
선바이오,067370,2022-10-05,2022,12월,의약품 제조업,"42,898,795","19,059,504","23,839,291","7,420,394",-25,"190,910",-94,"869,326",205
더블유씨피,393890,2022-09-30,2022,12월,일차전지 및 축전지 제조업,"1,080,234,202","142,789,089","937,445,114","257,451,425",38,"59,114,860",44,"55,633,097",658
하나금융24호스팩,430230,2022-09-29,2022,12월,금융 지원 서비스업,"17,102,466","2,020,135","15,082,331",0,0,"-6,837",888,"73,798",888
알피바이오,314140,2022-09-29,2022,12월,의약품 제조업,"173,157,918","82,021,316","91,136,602","138,109,319",20,"9,646,810",64,"4,315,650",13
한화플러스제3호스팩,430460,2022-09-29,2022,12월,금융 지원 서비스업,"11,914,529","971,305","10,943,223",0,0,"-20,282",888,"40,675",888
티엘엔지니어링,413300,2022-09-27,2022,12월,"건축기술, 엔지니어링 및 관련 기술 서비스업","5,868,601","4,970,306","898,295","10,633,590",27,"97,328",-20,"-474,130",-533
오픈엣지테크놀로지,394280,2022-09-26,2022,12월,소프트웨어 개발 및 공급업,"51,741,627","17,673,139","34,068,488","10,011,688",93,"-24,902,846",-141,"-24,785,880",-80
케이비제22호스팩,436530,2022-09-22,2022,12월,금융 지원 서비스업,"12,046,702","1,714,994","10,331,708",0,0,"-62,380",888,"5,381",888
하나금융23호스팩,427950,2022-09-15,2022,12월,금융 지원 서비스업,"11,019,109","1,630,987","9,388,122",0,0,"-34,549",888,"26,867",888
키움제7호스팩,433530,2022-09-07,2022,12월,금융 지원 서비스업,"9,399,050","1,224,170","8,174,880",0,0,"-21,506",888,"26,394",888
신영스팩8호,430220,2022-08-26,2022,12월,금융 지원 서비스업,"14,902,511","1,729,152","13,173,359",0,0,"-33,339",888,"64,314",888
IBKS제19호스팩,426550,2022-08-26,2022,12월,금융 지원 서비스업,"11,902,030","1,526,431","10,375,599",0,0,"-29,100",888,"-24,887",888
쏘카,403550,2022-08-22,2022,12월,운송장비 임대업,"573,698,840","316,616,923","257,081,916","375,330,069",31,"6,214,360",173,"-7,715,905",-310
대성하이텍,129920,2022-08-22,2022,12월,특수 목적용 기계 제조업,"158,938,338","85,163,156","73,775,182","112,612,357",9,"11,119,242",-4,"2,004,973",-73
에이치와이티씨,148930,2022-08-09,2022,12월,기타 금속 가공제품 제조업,"67,365,021","11,822,115","55,542,906","31,727,017",-3,"2,598,006",-61,"2,925,458",-58
새빗켐,107600,2022-08-04,2022,12월,기타 화학제품 제조업,"89,592,243","26,447,014","63,145,229","48,126,171",44,"10,199,488",84,"7,701,035",74
유안타제9호스팩,430700,2022-08-04,2022,12월,금융 지원 서비스업,"11,938,988","1,554,782","10,384,206",0,0,"-33,652",888,"48,745",888
수산인더스트리,126720,2022-08-01,2022,12월,건물설비 설치 공사업,"492,299,259","35,650,032","456,649,227","205,171,983",1,"38,829,652",10,"40,180,007",-23
아이씨에이치,368600,2022-07-29,2022,12월,그외 기타 제품 제조업,"74,834,089","21,634,046","53,200,043","12,925,481",-44,"-7,905,324",-848,"-7,319,566",-583
신한제10호스팩,418210,2022-07-29,2022,12월,금융 지원 서비스업,"7,915,381","1,007,254","6,908,127",0,0,"-34,264",888,"13,743",888
성일하이텍,365340,2022-07-28,2022,12월,기초 화학물질 제조업,"393,713,234","105,269,923","288,443,311","232,314,246",67,"42,847,425",213,"36,264,828",457
에이프릴바이오,397030,2022-07-28,2022,12월,자연과학 및 공학 연구개발업,"71,064,751","1,903,046","69,161,705","200,000",-99,"-11,474,307",-358,"-8,959,275",83
퓨쳐메디신,341170,2022-07-27,2022,12월,자연과학 및 공학 연구개발업,"6,036,252","4,510,738","1,525,515",0,0,"-7,578,444",-16,"-6,999,528",45
벨로크,424760,2022-07-22,2022,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","10,053,209","1,717,036","8,336,173",0,0,"-81,803",888,"-27,849",888
루닛,328130,2022-07-21,2022,12월,소프트웨어 개발 및 공급업,"98,867,642","28,230,065","70,637,577","13,865,732",108,"-48,611,906",-6,"-37,298,311",49
바스칸바이오제약,354390,2022-07-20,2022,12월,의약품 제조업,"30,484,698","5,828,884","24,655,814","26,797,640",15,"261,165",-37,"167,673",-54
HPSP,403870,2022-07-15,2022,12월,특수 목적용 기계 제조업,"260,926,477","65,554,608","195,371,869","159,336,323",73,"85,174,462",88,"66,005,615",86
와이씨켐,112290,2022-07-14,2022,12월,기타 화학제품 제조업,"116,088,114","48,541,169","67,546,944","82,350,140",24,"5,314,562",137,"4,164,612",611
