회사명,주관사,상장일,공모가,(수정)공모가,상장일,,,,1개월,,3개월,,6개월,,1년,,최근거래일 (2023-04-28),
,,,,,시가,등락률,종가,등락률,주가,등락률,주가,등락률,주가,등락률,주가,등락률,주가,등락률
토마토시스템,교보증권㈜,2023-04-27,"18,200","18,200","18,100",-0.5,"14,650",-19.5,0,0,0,0,0,0,0,0,"14,070",-22.7
마이크로투나노,한국투자증권㈜,2023-04-26,"15,500","15,500","25,200",62.6,"20,650",33.2,0,0,0,0,0,0,0,0,"20,200",30.3
SK오션플랜트,"한국투자증권㈜,삼성증권㈜",2023-04-19,0,0,"22,000",0,"21,800",0,0,0,0,0,0,0,0,0,"19,590",0
미래에셋비전스팩3호,미래에셋증권 주식회사,2023-04-07,"2,000","2,000","2,005",0.3,"2,005",0.3,0,0,0,0,0,0,0,0,"2,090",4.5
IBKS제22호스팩,IBK투자증권㈜,2023-04-06,"2,000","2,000","2,055",2.8,"2,090",4.5,0,0,0,0,0,0,0,0,"2,170",8.5
하나27호스팩,하나증권주식회사,2023-04-06,"2,000","2,000","2,000",0,"2,005",0.3,0,0,0,0,0,0,0,0,"2,070",3.5
지아이이노베이션,"엔에이치투자증권주식회사,하나증권주식회사,삼성증권㈜",2023-03-30,"13,000","13,000","18,950",45.8,"20,250",55.8,0,0,0,0,0,0,0,0,"20,900",60.8
LB인베스트먼트,미래에셋증권 주식회사,2023-03-29,"5,100","5,100","6,500",27.5,"8,450",65.7,0,0,0,0,0,0,0,0,"5,620",10.2
유안타제12호스팩,유안타증권㈜,2023-03-17,"2,000","2,000","1,997",-0.2,"1,998",-0.1,"2,010",0.5,0,0,0,0,0,0,"2,055",2.8
미래에셋드림스팩1호,미래에셋증권 주식회사,2023-03-15,"10,000","10,000","9,370",-6.3,"9,410",-5.9,"9,430",-5.7,0,0,0,0,0,0,"9,490",-5.1
금양그린파워,삼성증권㈜,2023-03-13,"10,000","10,000","19,000",90,"16,200",62,"22,850",128.5,0,0,0,0,0,0,"17,870",78.7
엔에이치스팩28호,엔에이치투자증권주식회사,2023-03-09,"2,000","2,000","2,100",5,"2,100",5,"2,080",4,0,0,0,0,0,0,"2,175",8.8
자람테크놀로지,신영증권㈜,2023-03-07,"22,000","22,000","44,000",100,"42,700",94.1,"48,300",119.5,0,0,0,0,0,0,"31,250",42
하나26호스팩,하나증권주식회사,2023-03-07,"2,000","2,000","2,000",0,"1,999",-0.1,"2,010",0.5,0,0,0,0,0,0,"2,060",3
나노팀,한국투자증권㈜,2023-03-03,"13,000","13,000","26,000",100,"29,800",129.2,"36,900",183.8,0,0,0,0,0,0,"25,700",97.7
바이오인프라,DB금융투자주식회사,2023-03-02,"21,000","21,000","42,000",100,"29,400",40,"24,300",15.7,0,0,0,0,0,0,"21,450",2.1
삼성스팩8호,삼성증권㈜,2023-03-02,"10,000","10,000","10,100",1,"9,980",-0.2,"9,740",-2.6,0,0,0,0,0,0,"9,740",-2.6
유안타제13호스팩,유안타증권㈜,2023-02-28,"2,000","2,000","2,010",0.5,"1,999",-0.1,"1,999",-0.1,0,0,0,0,0,0,"2,015",0.8
미래에셋비전스팩2호,미래에셋증권 주식회사,2023-02-24,"2,000","2,000","4,000",100,"2,800",40,"2,035",1.8,0,0,0,0,0,0,"2,070",3.5
이노진,IBK투자증권㈜,2023-02-20,"3,000","3,000","6,000",100,"7,800",160,"4,350",45,0,0,0,0,0,0,"3,640",21.3
제이오,한국투자증권㈜,2023-02-16,"13,000","13,000","19,900",53.1,"21,500",65.4,"27,450",111.2,0,0,0,0,0,0,"29,950",130.4
샌즈랩,키움증권㈜,2023-02-15,"10,500","10,500","21,000",100,"24,900",137.1,"16,560",57.7,0,0,0,0,0,0,"13,800",31.4
꿈비,키움증권㈜,2023-02-09,"5,000","5,000","10,000",100,"13,000",160,"26,750",435,0,0,0,0,0,0,"19,700",294
스튜디오미르,미래에셋증권 주식회사,2023-02-07,"19,500","19,500","39,000",100,"50,700",160,"41,300",111.8,0,0,0,0,0,0,"36,950",89.5
삼기이브이,대신증권㈜,2023-02-03,"11,000","11,000","22,000",100,"26,850",144.1,"20,900",90,0,0,0,0,0,0,"19,060",73.3
오브젠,한국투자증권㈜,2023-01-30,"18,000","18,000","36,000",100,"46,800",160,"63,400",252.2,0,0,0,0,0,0,"40,950",127.5
미래반도체,신한투자증권 주식회사,2023-01-27,"6,000","6,000","12,000",100,"15,600",160,"18,000",200,"27,000",350,0,0,0,0,"21,000",250
티이엠씨,한화투자증권㈜,2023-01-19,"28,000",0,"27,950",0,"28,100",0,"37,250",0,"42,500",0,0,0,0,0,"40,850",0
한주라이트메탈,"미래에셋증권 주식회사,현대차증권주식회사",2023-01-19,"3,100",0,"4,115",0,"5,340",0,"4,350",0,"6,910",0,0,0,0,0,"5,570",0
신영스팩9호,신영증권㈜,2022-12-27,"2,000","2,000","1,985",-0.8,"1,985",-0.8,"2,040",2,"2,045",2.3,0,0,0,0,"2,110",5.5
